pais_id,pais,año,mes,ccp_origen,producto_origen,ccp_destino,producto_destino,uni_med_id,uni_med,cantidad_por_millon
32,Argentina,2008,4,2211,Leche cruda,22110,Leche esterilizada entera,l,Litros,29.92
32,Argentina,2008,4,2211,Leche cruda,22110,Leche esterilizada semidescremada,l,Litros,13.39
32,Argentina,2008,4,2211,Leche cruda,22110,Leche esterilizada descremada,l,Litros,1.99
32,Argentina,2008,4,2211,Leche cruda,22110,Leche chocolatada,l,Litros,9.46
32,Argentina,2008,4,2211,Leche cruda,22211,Leche en polvo entera ,l,Litros,76.02
32,Argentina,2008,4,2211,Leche cruda,22212,Leche en polvo descremada,l,Litros,10.22
32,Argentina,2008,4,2211,Leche cruda,22251,Quesos de baja humedad (pasta dura),l,Litros,48.34
32,Argentina,2008,4,2211,Leche cruda,22251,Quesos de mediana humedad (pasta semidura),l,Litros,109.06
32,Argentina,2008,4,2211,Leche cruda,22251,Quesos de alta humedad (pasta blanda),l,Litros,124.88
32,Argentina,2008,4,2211,Leche cruda,22241,Manteca,l,Litros,49.75
32,Argentina,2008,4,2211,Leche cruda,22222,Dulce de leche,l,Litros,15.2
32,Argentina,2008,4,2211,Leche cruda,22222,Leche condensada,l,Litros,1.2
32,Argentina,2008,4,2211,Leche cruda,22230,Yogur ,l,Litros,37.11
32,Argentina,2008,4,2211,Leche cruda,22290,Postres lacteos y flanes,l,Litros,3.97
32,Argentina,2008,5,2211,Leche cruda,2211,Leche informal,l,Litros,71.91
32,Argentina,2008,5,2211,Leche cruda,22110,Leche pasteurizada entera,l,Litros,77.11
32,Argentina,2008,5,2211,Leche cruda,22110,Leche pasteurizada semidescremada,l,Litros,34.26
32,Argentina,2008,5,2211,Leche cruda,22110,Leche pasteurizada descremada,l,Litros,1.08
32,Argentina,2008,5,2211,Leche cruda,22110,Leche esterilizada entera,l,Litros,31.81
32,Argentina,2008,5,2211,Leche cruda,22110,Leche esterilizada semidescremada,l,Litros,16.1
32,Argentina,2008,5,2211,Leche cruda,22110,Leche esterilizada descremada,l,Litros,2.14
32,Argentina,2008,5,2211,Leche cruda,22110,Leche chocolatada,l,Litros,14.78
32,Argentina,2008,5,2211,Leche cruda,22211,Leche en polvo entera ,l,Litros,82.34
32,Argentina,2008,5,2211,Leche cruda,22212,Leche en polvo descremada,l,Litros,13.36
32,Argentina,2008,5,2211,Leche cruda,22251,Quesos de baja humedad (pasta dura),l,Litros,74.87
32,Argentina,2008,5,2211,Leche cruda,22251,Quesos de mediana humedad (pasta semidura),l,Litros,128.65
32,Argentina,2008,5,2211,Leche cruda,22251,Quesos de alta humedad (pasta blanda),l,Litros,147.73
32,Argentina,2008,5,2211,Leche cruda,22241,Manteca,l,Litros,20.93
32,Argentina,2008,5,2211,Leche cruda,22222,Dulce de leche,l,Litros,17.57
32,Argentina,2008,5,2211,Leche cruda,22222,Leche condensada,l,Litros,1.22
32,Argentina,2008,5,2211,Leche cruda,22230,Yogur ,l,Litros,29.53
32,Argentina,2008,5,2211,Leche cruda,22290,Postres lacteos y flanes,l,Litros,3.61
32,Argentina,2008,6,2211,Leche cruda,2211,Leche informal,l,Litros,59.44
32,Argentina,2008,6,2211,Leche cruda,22110,Leche pasteurizada entera,l,Litros,69.62
32,Argentina,2008,6,2211,Leche cruda,22110,Leche pasteurizada semidescremada,l,Litros,29.29
32,Argentina,2008,6,2211,Leche cruda,22110,Leche pasteurizada descremada,l,Litros,1.17
32,Argentina,2008,6,2211,Leche cruda,22110,Leche esterilizada entera,l,Litros,27.55
32,Argentina,2008,6,2211,Leche cruda,22110,Leche esterilizada semidescremada,l,Litros,10.18
32,Argentina,2008,6,2211,Leche cruda,22110,Leche esterilizada descremada,l,Litros,1.49
32,Argentina,2008,6,2211,Leche cruda,22110,Leche chocolatada,l,Litros,1.71
32,Argentina,2008,6,2211,Leche cruda,22211,Leche en polvo entera ,l,Litros,98.13
32,Argentina,2008,6,2211,Leche cruda,22212,Leche en polvo descremada,l,Litros,8.9
32,Argentina,2008,6,2211,Leche cruda,22251,Quesos de baja humedad (pasta dura),l,Litros,84.67
32,Argentina,2008,6,2211,Leche cruda,22251,Quesos de mediana humedad (pasta semidura),l,Litros,130.64
32,Argentina,2008,6,2211,Leche cruda,22251,Quesos de alta humedad (pasta blanda),l,Litros,131.11
32,Argentina,2008,6,2211,Leche cruda,22241,Manteca,l,Litros,19.04
32,Argentina,2008,6,2211,Leche cruda,22222,Dulce de leche,l,Litros,18.34
32,Argentina,2008,6,2211,Leche cruda,22222,Leche condensada,l,Litros,1.07
32,Argentina,2008,6,2211,Leche cruda,22230,Yogur ,l,Litros,23.16
32,Argentina,2008,6,2211,Leche cruda,22290,Postres lacteos y flanes,l,Litros,3.69
32,Argentina,2008,7,2211,Leche cruda,2211,Leche informal,l,Litros,63.96
32,Argentina,2008,7,2211,Leche cruda,22110,Leche pasteurizada entera,l,Litros,73.76
32,Argentina,2008,7,2211,Leche cruda,22110,Leche pasteurizada semidescremada,l,Litros,31.61
32,Argentina,2008,7,2211,Leche cruda,22110,Leche pasteurizada descremada,l,Litros,1.03
32,Argentina,2008,7,2211,Leche cruda,22110,Leche esterilizada entera,l,Litros,27.6
32,Argentina,2008,7,2211,Leche cruda,22110,Leche esterilizada semidescremada,l,Litros,13.85
32,Argentina,2008,7,2211,Leche cruda,22110,Leche esterilizada descremada,l,Litros,1.84
32,Argentina,2008,7,2211,Leche cruda,22110,Leche chocolatada,l,Litros,4.99
32,Argentina,2008,7,2211,Leche cruda,22211,Leche en polvo entera ,l,Litros,103.28
32,Argentina,2008,7,2211,Leche cruda,22212,Leche en polvo descremada,l,Litros,29.91
32,Argentina,2008,7,2211,Leche cruda,22251,Quesos de baja humedad (pasta dura),l,Litros,82.61
32,Argentina,2008,7,2211,Leche cruda,22251,Quesos de mediana humedad (pasta semidura),l,Litros,114.07
32,Argentina,2008,7,2211,Leche cruda,22251,Quesos de alta humedad (pasta blanda),l,Litros,138.61
32,Argentina,2008,7,2211,Leche cruda,22241,Manteca,l,Litros,46.68
32,Argentina,2008,7,2211,Leche cruda,22222,Dulce de leche,l,Litros,21.18
